timestamp,voc1,no2,eth,co,tag
2236,3.17,2.64,3.31,3.54,garlic
2486,3.17,2.64,3.31,3.55,garlic
2736,3.18,2.64,3.31,3.55,garlic
2986,3.18,2.65,3.31,3.55,garlic
3236,3.18,2.64,3.31,3.56,garlic
3486,3.18,2.64,3.32,3.55,garlic
3736,3.18,2.64,3.31,3.55,garlic
3986,3.18,2.64,3.32,3.56,garlic
4236,3.18,2.64,3.32,3.56,garlic
4486,3.18,2.65,3.32,3.56,garlic
4736,3.18,2.65,3.32,3.56,garlic
4986,3.18,2.65,3.32,3.56,garlic
5236,3.18,2.65,3.33,3.57,garlic
5486,3.18,2.65,3.33,3.57,garlic
5736,3.19,2.65,3.33,3.57,garlic
5986,3.19,2.65,3.33,3.57,garlic
6236,3.19,2.65,3.33,3.57,garlic
6486,3.19,2.65,3.33,3.58,garlic
6736,3.19,2.65,3.33,3.57,garlic
6986,3.19,2.64,3.34,3.58,garlic
7236,3.2,2.65,3.34,3.58,garlic
7486,3.19,2.65,3.34,3.58,garlic
7736,3.19,2.65,3.34,3.58,garlic
7986,3.2,2.65,3.34,3.59,garlic
8236,3.2,2.65,3.35,3.58,garlic
8486,3.2,2.65,3.35,3.59,garlic
8736,3.2,2.65,3.35,3.59,garlic
8986,3.2,2.65,3.35,3.59,garlic
9236,3.2,2.65,3.35,3.59,garlic
9486,3.21,2.66,3.35,3.59,garlic
9736,3.2,2.65,3.35,3.59,garlic
9986,3.2,2.66,3.36,3.6,garlic
10236,3.21,2.66,3.36,3.6,garlic
10486,3.21,2.66,3.36,3.6,garlic
10736,3.21,2.66,3.36,3.6,garlic
10986,3.21,2.66,3.37,3.6,garlic
11236,3.21,2.66,3.37,3.6,garlic
11486,3.21,2.66,3.37,3.6,garlic
11736,3.21,2.66,3.37,3.61,garlic
11986,3.22,2.66,3.37,3.61,garlic
12236,3.22,2.66,3.38,3.61,garlic
12486,3.22,2.66,3.38,3.61,garlic
12736,3.22,2.66,3.38,3.62,garlic
12986,3.22,2.66,3.38,3.61,garlic
13236,3.22,2.67,3.38,3.62,garlic
13486,3.23,2.66,3.38,3.62,garlic
13736,3.22,2.67,3.39,3.62,garlic
13986,3.22,2.66,3.39,3.62,garlic
14236,3.23,2.67,3.39,3.62,garlic
14486,3.23,2.66,3.39,3.62,garlic
14736,3.23,2.67,3.4,3.63,garlic
14986,3.23,2.67,3.4,3.63,garlic
15236,3.23,2.67,3.4,3.63,garlic
15486,3.23,2.66,3.4,3.63,garlic
15736,3.23,2.67,3.4,3.63,garlic
15986,3.24,2.67,3.41,3.63,garlic
16236,3.24,2.67,3.41,3.63,garlic
16486,3.24,2.67,3.41,3.63,garlic
16736,3.24,2.67,3.41,3.64,garlic
16986,3.24,2.67,3.41,3.63,garlic
17236,3.24,2.67,3.41,3.64,garlic
17486,3.24,2.67,3.42,3.64,garlic
17736,3.24,2.67,3.42,3.64,garlic
17986,3.24,2.68,3.42,3.64,garlic
18236,3.25,2.67,3.42,3.65,garlic
18486,3.25,2.68,3.43,3.65,garlic
18736,3.25,2.67,3.43,3.65,garlic
18986,3.25,2.67,3.43,3.65,garlic
19236,3.25,2.67,3.43,3.65,garlic
19486,3.25,2.68,3.43,3.65,garlic
19736,3.26,2.68,3.43,3.65,garlic
19986,3.25,2.68,3.44,3.65,garlic
20236,3.26,2.67,3.44,3.66,garlic
20486,3.26,2.68,3.44,3.65,garlic
20736,3.26,2.68,3.44,3.66,garlic
20986,3.26,2.68,3.45,3.66,garlic
21236,3.26,2.68,3.45,3.66,garlic
21486,3.26,2.68,3.45,3.67,garlic
21736,3.26,2.68,3.45,3.66,garlic
21986,3.26,2.68,3.45,3.66,garlic
22236,3.26,2.68,3.46,3.66,garlic
22486,3.27,2.68,3.46,3.67,garlic
22736,3.27,2.68,3.46,3.67,garlic
22986,3.27,2.68,3.46,3.67,garlic
23236,3.27,2.68,3.47,3.67,garlic
23486,3.27,2.68,3.47,3.67,garlic
23736,3.27,2.67,3.47,3.67,garlic
23986,3.27,2.68,3.47,3.68,garlic
24236,3.27,2.69,3.48,3.68,garlic
24486,3.28,2.7,3.48,3.69,garlic
24736,3.28,2.71,3.48,3.69,garlic
24986,3.28,2.74,3.49,3.7,garlic
25236,3.3,2.77,3.51,3.7,garlic
25486,3.31,2.8,3.52,3.71,garlic
25736,3.31,2.81,3.53,3.72,garlic
25986,3.33,2.82,3.54,3.73,garlic
26236,3.33,2.83,3.56,3.73,garlic
26486,3.35,2.83,3.57,3.74,garlic
26736,3.35,2.83,3.58,3.75,garlic
26986,3.36,2.83,3.59,3.75,garlic
27236,3.37,2.83,3.59,3.75,garlic
27486,3.38,2.84,3.61,3.76,garlic
27736,3.38,2.84,3.61,3.77,garlic
27986,3.39,2.84,3.63,3.77,garlic
28236,3.4,2.84,3.63,3.78,garlic
28486,3.41,2.84,3.64,3.78,garlic
28736,3.42,2.84,3.65,3.78,garlic
28986,3.42,2.84,3.65,3.78,garlic
29236,3.43,2.84,3.66,3.79,garlic
29486,3.44,2.84,3.67,3.79,garlic
29736,3.44,2.83,3.68,3.79,garlic
29986,3.45,2.84,3.69,3.8,garlic
30236,3.45,2.84,3.69,3.8,garlic
